t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,0.00000,-0.78540,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
0.10017,0.00000,-0.78452,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
0.20033,0.00000,-0.78365,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
0.30050,0.00000,-0.78278,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
0.40066,0.00000,-0.78190,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
0.50083,0.00000,-0.78103,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
0.60099,0.00000,-0.78015,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
0.70116,0.00000,-0.77928,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
0.80132,0.00000,-0.77841,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
0.90149,0.00000,-0.77753,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.00166,0.00000,-0.77666,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.10182,0.00000,-0.77578,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.20199,0.00000,-0.77491,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.30215,0.00000,-0.77403,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.40232,0.00000,-0.77316,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.50248,0.00000,-0.77229,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.60265,0.00000,-0.77141,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.70281,0.00000,-0.77054,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.80298,0.00000,-0.76966,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
1.90315,0.00000,-0.76879,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.00331,0.00000,-0.76792,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.10348,0.00000,-0.76704,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.20364,0.00000,-0.76617,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.30381,0.00000,-0.76529,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.40397,0.00000,-0.76442,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.50414,0.00000,-0.76355,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.60430,0.00000,-0.76267,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.70447,0.00000,-0.76180,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.80464,0.00000,-0.76092,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
2.90480,0.00000,-0.76005,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.00497,0.00000,-0.75917,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.10513,0.00000,-0.75830,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.20530,0.00000,-0.75743,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.30546,0.00000,-0.75655,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.40563,0.00000,-0.75568,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.50579,0.00000,-0.75480,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.60596,0.00000,-0.75393,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.70613,0.00000,-0.75306,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.80629,0.00000,-0.75218,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
3.90646,0.00000,-0.75131,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.00662,0.00000,-0.75043,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.10679,0.00000,-0.74956,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.20695,0.00000,-0.74869,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.30712,0.00000,-0.74781,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.40728,0.00000,-0.74694,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.50745,0.00000,-0.74606,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.60762,0.00000,-0.74519,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.70778,0.00000,-0.74432,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.80795,0.00000,-0.74344,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
4.90811,0.00000,-0.74257,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.00828,0.00000,-0.74169,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.10844,0.00000,-0.74082,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.20861,0.00000,-0.73994,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.30877,0.00000,-0.73907,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.40894,0.00000,-0.73820,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.50911,0.00000,-0.73732,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.60927,0.00000,-0.73645,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.70944,0.00000,-0.73557,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
5.80960,0.00000,-0.73470,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
