t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
0.00000,0.47241,0.73554,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
0.50000,0.46915,0.73890,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
1.00000,0.46590,0.74226,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
1.50000,0.46264,0.74561,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
2.00000,0.45938,0.74897,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
2.50000,0.45613,0.75233,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
3.00000,0.45287,0.75568,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
3.50000,0.44961,0.75904,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
4.00000,0.44636,0.76240,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
4.50000,0.44310,0.76575,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
5.00000,0.43984,0.76911,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
5.50000,0.43659,0.77247,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
6.00000,0.43333,0.77582,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
6.50000,0.43008,0.77918,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
7.00000,0.42682,0.78254,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
7.50000,0.42356,0.78589,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
8.00000,0.42031,0.78925,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
8.50000,0.41705,0.79261,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
9.00000,0.41379,0.79596,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
9.50000,0.41054,0.79932,0.00000,-0.00651,0.00671,0.00000,0.00000,0.00000,0.00000
